state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
ID,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,4,34,2,3,,07/01/2024,06/30/2025
ID,MORT_30_AMI,Death rate for heart attack patients,0,9,0,25,,07/01/2022,06/30/2025
ID,MORT_30_CABG,Death rate for CABG surgery patients,0,5,0,0,,07/01/2022,06/30/2025
ID,MORT_30_COPD,Death rate for COPD patients,0,16,0,23,,07/01/2022,06/30/2025
ID,MORT_30_HF,Death rate for heart failure patients,0,19,0,22,,07/01/2022,06/30/2025
ID,MORT_30_PN,Death rate for pneumonia patients,0,28,1,11,,07/01/2022,06/30/2025
ID,MORT_30_STK,Death rate for stroke patients,3,8,1,21,,07/01/2023,06/30/2025
ID,PSI_03,Pressure ulcer rate,1,14,0,1,,07/01/2022,06/30/2024
ID,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,10,0,5,,07/01/2022,06/30/2024
ID,PSI_06,Iatrogenic pneumothorax rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_08,In-hospital fall-associated fracture rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_09,Postoperative hemorrhage or hematoma rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_11,Postoperative respiratory failure rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_13,Postoperative sepsis rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_14,Postoperative wound dehiscence rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,16,0,0,,07/01/2022,06/30/2024
ID,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,16,0,Not Available,,07/01/2022,06/30/2024
